,,,,,,,,,,,,,325.630526105221,
2011,Nissan,Altima,2.5 S,Sedan,ca,3.8,100301,burgundy,black,santander consumer,7550,8400,-850,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5,Sedan,ca,2.8,55991,blue,black,nissan-infiniti lt,10300,10500,-200,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2010,Nissan,Altima,3.5 SR,Sedan,ca,2,53207,black,black,"jpmorgan chase bank,n.a.",11300,9600,1700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2009,Nissan,Altima,2.5 S,Coupe,ca,4.2,75697,gray,black,acura of riverside,8800,10300,-1500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2008,Nissan,Altima,2.5 S,Coupe,ca,2.6,73818,black,black,onemain rem/delta dealer,8000,9200,-1200,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2008,Nissan,Altima,2.5 S,Coupe,ca,,121505,gray,black,prestige auto,5600,6800,-1200,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5 S,Sedan,ca,1.9,161713,white,black,wells fargo dealer services,4000,4100,-100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5 S,Sedan,ca,2.6,116514,red,tan,nissan north america inc.,5250,5500,-250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5 S,Sedan,ca,2.5,77236,gray,beige,wells fargo dealer services,6250,7800,-1550,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5 S,Sedan,ca,2.7,80510,green,beige,wells fargo dealer services,6000,6800,-800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5 S,Sedan,ca,2.1,153946,blue,black,car cash loans,4175,4000,175,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Nissan,Altima,2.5 S,Sedan,ca,1.9,91168,blue,black,mas financial services,4500,3000,1500,Wed Dec 31 2014 12:05:00 GMT-0800 (PST)
2006,Nissan,Altima,2.5 S,Sedan,ca,2.9,130115,black,gray,veros credit,3375,3300,75,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Nissan,Altima,2.5,Sedan,ca,,121780,gray,gray,a l financial,3950,1100,2850,Wed Dec 17 2014 13:30:00 GMT-0800 (PST)
2006,Nissan,Altima,3.5 SE,Sedan,ca,2.7,53320,gray,gray,billion dodge chrysler jeep,6725,4600,2125,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Nissan,Altima,3.5 SE,Sedan,ca,2,113495,silver,black,time finance co,4850,2700,2150,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,,112638,red,black,west coast acceptance,3250,4600,-1350,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2005,Nissan,Altima,3.5 SE,Sedan,ca,1.9,173296,black,black,kia of cerritos,2825,2000,825,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,2,211406,black,gray,repo remarketing/coast hills fcu,1625,900,725,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,,139826,green,—,marios auto wholesale,2850,3900,-1050,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,1.9,150974,blue,gray,veros credit,2825,700,2125,Tue Jan 27 2015 05:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,2.6,147619,gray,gray,stg auto group,2725,2650,75,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,2.8,148450,gold,beige,time finance co,2700,3400,-700,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,2.5,121981,silver,black,veros credit,3150,3100,50,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,1.9,130060,gold,brown,800 loan mart,2975,1950,1025,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,,58229,blue,—,huntington beach auto buyers,4300,3500,800,Fri Dec 19 2014 15:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,ca,1.9,149690,gray,gray,veros credit,2700,2200,500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2004,Nissan,Altima,2.5,Sedan,ca,2.4,119462,black,gray,veros credit,2900,3100,-200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2004,Nissan,Altima,2.5,Sedan,ca,2.3,148916,silver,gray,county financial services,2600,2500,100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2004,Nissan,Altima,3.5 SE,Sedan,ca,1.9,93226,gold,tan,"jpmorgan chase bank,n.a.",3700,2600,1100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2003,Nissan,Altima,3.5 SE,Sedan,ca,,144349,gray,—,ecars,2125,3500,-1375,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,2,45966,green,tan,purple heart car donation,2950,1200,1750,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,,165048,black,—,mccauley automotive co,1950,2700,-750,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,1.9,117903,green,beige,walker wholesale,2425,2900,-475,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,,82364,green,gray,mazda of orange,2600,2500,100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Nissan,Altima,2.5 SL,Sedan,ca,2.3,237972,gold,beige,aaero sweet company,275,1150,-875,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2003,Nissan,Altima,3.5 SE,Sedan,ca,2.5,190949,gold,black,metro auto loan,1550,2500,-950,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,1.9,110894,silver,black,billion dodge chrysler jeep,2800,2100,700,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,2.8,174866,black,gray,stg auto group,1900,1800,100,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
2002,Nissan,Altima,3.5 SE,Sedan,ca,2.4,118491,gray,black,aaero sweet company,2325,3900,-1575,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2000,Nissan,Altima,GXE,Sedan,ca,,98414,black,—,james family auto sales,1450,1800,-350,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,Nissan,Altima,XE,Sedan,ca,,174939,gold,—,carlos ricardo landeau,1000,1200,-200,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,4.3,6951,black,black,nissan motor acceptance corporation,17900,16000,1900,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,1,21852,white,black,enterprise vehicle exchange / tra / rental / tulsa,14600,11500,3100,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,4.1,11789,red,black,nissan north america inc.,17450,16250,1200,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,1,26991,silver,black,enterprise vehicle exchange / tra / rental / tulsa,14350,9700,4650,Tue Jan 06 2015 12:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,4.8,15457,gray,black,nissan north america inc.,17100,20750,-3650,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,4.5,6667,gray,beige,nissan dealer blend/team nissan,15350,15250,100,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,2,18663,red,black,hertz/tra,14750,6500,8250,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,5,5665,white,black,remarketing by ge/golden 1 credit union,15350,16600,-1250,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,4.4,7132,beige,tan,nissan motor acceptance corporation,17850,15500,2350,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,3.9,8014,gray,black,santander consumer,15250,16000,-750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,4.4,12163,silver,tan,team nissan,15100,15250,-150,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,1,37271,white,black,enterprise vehicle exchange / tra / rental / tulsa,13800,12100,1700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,3,14652,gray,black,hertz/tra,14950,8500,6450,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,3.5,8982,black,black,nissan north america inc.,17700,14500,3200,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,3,18493,white,black,enterprise vehicle exchange / tra / rental / tulsa,14750,13000,1750,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,4.9,3036,black,beige,nissan motor acceptance corporation,18200,15500,2700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,2,17765,silver,—,enterprise vehicle exchange / tra / rental / tulsa,14800,8900,5900,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Coupe,ca,2.6,33993,black,black,nissan-infiniti lt,13500,11000,2500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,ca,2.8,52569,white,beige,santander consumer,10350,9500,850,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,ca,3.6,50992,silver,black,high bid trading co inc,10350,11750,-1400,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,ca,1.9,39165,blue,gray,meridian remarketing,11900,9800,2100,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,ca,4.2,28440,white,gray,california auto exchange,11500,13600,-2100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5 S,Sedan,ca,2.9,45887,white,tan,santander consumer,10100,11300,-1200,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5 S,Sedan,ca,4.3,74496,black,black,stg auto group,8775,8900,-125,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5 S,Sedan,ca,2.8,50741,blue,black,the hertz corporation,9950,10300,-350,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2010,Nissan,Altima,3.5 SR,Coupe,ca,4.4,42537,blue,beige,bob baker toyota of lemon grove,13050,14000,-950,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Nissan,Altima,3.5 SE,Coupe,ca,2.7,88176,black,black,skyhigh remarketing inc,9675,9500,175,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Nissan,Altima,2.5 S,Coupe,ca,1.9,106187,black,black,santander consumer,6300,6300,0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Nissan,Altima,3.5 SE,Coupe,ca,2.7,75784,blue,black,lease remarketing services inc,10350,7500,2850,Tue Dec 30 2014 16:00:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5,Sedan,ca,3.6,71491,black,tan,san diego sports cars,6650,9000,-2350,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2006,Nissan,Altima,2.5 S,Sedan,ca,3.1,136229,gray,black,veros credit,3225,2400,825,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2005,Nissan,Altima,3.5 SE,Sedan,ca,,88846,green,—,otis auto sales,4025,4800,-775,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,2.4,196796,black,gray,ideal transportation,1750,1950,-200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,ca,,65843,gray,—,marios auto wholesale,3400,4100,-700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2003,Nissan,Altima,3.5 SE,Sedan,ca,,201914,white,—,auto trade center,1425,2800,-1375,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Nissan,Altima,3.5 SE,Sedan,ca,2.8,108238,gray,beige,stg auto group,2450,3200,-750,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
2002,Nissan,Altima,2.5 SL,Sedan,ca,,129499,white,tan,merle stone chevrolet inc,2150,3100,-950,Thu Dec 18 2014 13:00:00 GMT-0800 (PST)
2002,Nissan,Altima,3.5 SE,Sedan,ca,,113852,gold,—,chaser inc,2375,3500,-1125,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,Nissan,Altima,XE,Sedan,ca,,114077,gray,—,east bay bmw,1275,2000,-725,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1999,Nissan,Altima,GLE,Sedan,ca,1.9,178309,silver,gray,honda world,575,800,-225,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,ca,3.1,7621,gray,black,ag leaseplan,15250,13100,2150,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,ca,5,22803,black,black,stanford car co,17300,18600,-1300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2010,Nissan,Altima Hybrid,Base,Sedan,ca,2.6,82088,silver,black,santander consumer,9950,8800,1150,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Nissan,Altima Hybrid,Base,Sedan,ca,4.1,129470,white,gray,onemain rem/delta dealer,5075,6700,-1625,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Nissan,Altima Hybrid,Base,Sedan,ca,2.8,127972,gray,gray,ecars,5275,6200,-925,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2004,Kia,Amanti,Base,Sedan,ca,,114838,gray,—,carpower trading inc,2100,2100,0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2005,Kia,Amanti,Base,Sedan,ca,3.5,62777,gray,gray,santander consumer,4100,3400,700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Armada,SV,SUV,ca,3.1,63459,black,black,the hertz corporation,18100,19500,-1400,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,Nissan,Armada,SV,SUV,ca,2.7,70973,black,black,nissan motor acceptance corporation,28800,26000,2800,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Armada,SL,SUV,ca,3.3,33561,silver,gray,the hertz corporation,27300,24000,3300,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2012,Nissan,Armada,SV,SUV,ca,2.4,33829,gray,black,the hertz corporation,25500,24000,1500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2011,Nissan,Armada,Platinum,SUV,ca,3.8,63026,red,black,nissan motor acceptance corporation,23600,22250,1350,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Nissan,Armada,Platinum,SUV,ca,4.1,40671,—,black,nissan north america inc.,20900,27000,-6100,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2008,Nissan,Armada,LE,SUV,ca,2.3,96738,black,black,wells fargo dealer services,11550,12200,-650,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Nissan,Armada,SE,SUV,ca,2.9,107973,white,beige,santander consumer,10450,11200,-750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Nissan,Armada,SE,SUV,ca,1.9,103653,blue,beige,remarketing by ge/golden 1 credit union,10000,7800,2200,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2007,Nissan,Armada,SE,SUV,ca,2.6,89004,gray,gray,manheim california,10200,9500,700,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2006,Nissan,Armada,LE,SUV,ca,2.6,99011,silver,gray,nvp remarketing,9700,12100,-2400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2006,Nissan,Armada,SE,SUV,ca,2.7,116609,silver,gray,wells fargo dealer services,7350,7400,-50,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2005,Nissan,Armada,SE,SUV,ca,2.8,127705,gray,gray,first credit finance,6850,6000,850,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2004,Nissan,Armada,LE,SUV,ca,3.6,137094,black,gray,hornburg jaguar santa monica,6350,7600,-1250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2004,Nissan,Armada,LE,SUV,ca,1.6,154815,black,gray,first credit finance,5075,4900,175,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2004,Nissan,Armada,SE,SUV,ca,1.9,136587,white,gray,"jpmorgan chase bank,n.a.",4800,5400,-600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Nissan,Armada,SE,SUV,ca,3.5,95981,gray,gray,shadys deals on wheels,11350,10900,450,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2008,Chrysler,Aspen,Limited,SUV,ca,,366136,gray,gray,san diego auto finder,4650,2450,2200,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2005,Chevrolet,Astro Cargo,Base,Minivan,ca,,244464,white,—,executive enterprises auto wholesale inc,1600,2000,-400,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2003,Chevrolet,Astro Cargo,Base,Minivan,ca,,254730,white,—,executive enterprises auto wholesale inc,25,1400,-1375,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2013,Cadillac,ATS,Luxury,Sedan,ca,1,22734,silver,black,enterprise vehicle exchange / tra / rental / tulsa,20500,14400,6100,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2008,Saturn,Aura,XE,Sedan,ca,,150283,black,—,skyhigh remarketing inc,2175,3500,-1325,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Saturn,Aura,XR,Sedan,ca,,184271,black,—,sampson wholesale dealership,1300,2200,-900,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2007,Saturn,Aura,XR,Sedan,ca,3.5,81362,black,black,the car exchange,5375,5200,175,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2008,Saturn,Aura,XE,Sedan,ca,,92254,gray,—,apexcars net,5000,5100,-100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Saturn,Aura,XE,Sedan,ca,,157948,blue,—,billion dodge chrysler jeep,2450,2500,-50,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Saturn,Aura,XE,Sedan,ca,,88268,burgundy,tan,liberty chevrolet,4725,4000,725,Thu Dec 18 2014 13:00:00 GMT-0800 (PST)
2007,Saturn,Aura,XE,Sedan,ca,3.8,118943,white,beige,valley kia,3800,3800,0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2009,Chevrolet,Avalanche,LT1,Crew Cab,ca,2.1,74387,blue,black,gm financial,18200,16500,1700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2009,Chevrolet,Avalanche,LTZ,Crew Cab,ca,3.2,78653,black,tan,coast sports cars inc,20100,24500,-4400,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Chevrolet,Avalanche,LT,Crew Cab,ca,3.7,106237,gray,black,wondries toyota,12600,14000,-1400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Chevrolet,Avalanche,LS,Crew Cab,ca,,151456,gray,—,melody toyota,11300,9000,2300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2004,Chevrolet,Avalanche,1500,Crew Cab,ca,1,1,black,tan,quality acceptance,11200,1000,10200,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2008,Chevrolet,Avalanche,LT,Crew Cab,ca,3.2,73024,burgundy,black,high bid trading co inc,19050,21500,-2450,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Chevrolet,Avalanche,LT,Crew Cab,ca,2.7,43732,black,black,high bid trading co inc,18400,23750,-5350,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2007,Chevrolet,Avalanche,LT,Crew Cab,ca,2.2,96571,gray,black,stevens creek hyundai,13950,15000,-1050,Wed Jan 07 2015 12:15:00 GMT-0800 (PST)
2006,Chevrolet,Avalanche,1500 LS,Crew Cab,ca,3.5,99830,black,gray,huntington beach ford,10650,10700,-50,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2005,Chevrolet,Avalanche,1500 LS,Crew Cab,ca,4.4,113330,white,gray,high bid trading co inc,7800,11600,-3800,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2004,Chevrolet,Avalanche,1500,Crew Cab,ca,2.9,139573,silver,black,premium auto wholesale,7800,7400,400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,Chevrolet,Avalanche,1500,Crew Cab,ca,1.9,218501,red,gray,first credit finance,2975,2600,375,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2002,Chevrolet,Avalanche,1500,Crew Cab,ca,,105582,gray,—,"boardwalk volkswagen, boardwalk lotus",7700,7700,0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LT,Crew Cab,pa,3.9,62160,silver,gray,twin willows ii inc,24600,26850,-2250,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LTZ,Crew Cab,pa,4.7,41484,black,black,auto select inc,30700,31400,-700,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LS,Crew Cab,mi,2.5,60223,gray,black,stratford hyundai,22700,17000,5700,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LTZ,Crew Cab,in,,62096,white,black,"bob hook chevrolet, inc.",28000,28400,-400,Thu Dec 18 2014 10:10:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LTZ,Crew Cab,va,,54078,off-white,—,blue knob auto sales inc,29100,28700,400,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LT,Crew Cab,fl,3.3,81737,red,black,merchants automotive group,22300,20500,1800,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2011,Chevrolet,Avalanche,LTZ,Crew Cab,ga,,49026,red,black,jeffs motorcars inc,29700,28600,1100,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2013,Toyota,Avalon,XLE,Sedan,ca,3.3,36159,silver,silver,toyota financial services/avis budget group-open,18850,19500,-650,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Avalon,Limited,Sedan,ca,1,34549,silver,black,enterprise vehicle exchange / tra / rental / tulsa,23200,15500,7700,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2012,Toyota,Avalon,Base,Sedan,ca,3.5,48994,black,black,rd cars,17000,17000,0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Toyota,Avalon,Base,Sedan,ca,2.7,74871,—,beige,ge fleet services for itself/servicer,15450,12500,2950,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2008,Toyota,Avalon,Touring,Sedan,ca,2.9,140464,blue,black,toyota scion of downtown la,6075,5100,975,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2007,Toyota,Avalon,XLS,Sedan,ca,2.3,142660,silver,silver,executive enterprises auto wholesale inc,6725,7000,-275,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Toyota,Avalon,Touring,Sedan,ca,,124996,silver,—,south county lexus at mission viejo,5650,7200,-1550,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Toyota,Avalon,XLS,Sedan,ca,,114970,blue,gray,toyota of poway,7675,7000,675,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Toyota,Avalon,Limited,Sedan,ca,3.6,52721,silver,gray,premium auto wholesale,9200,10400,-1200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,Toyota,Avalon,Touring,Sedan,ca,3.6,102174,white,black,desert auto trade,6000,8500,-2500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2006,Toyota,Avalon,Limited,Sedan,ca,1.9,149417,gray,beige,exeter finance corp,6750,5100,1650,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Avalon,XLS,Sedan,ca,3.1,118164,silver,gray,remarketing by ge/schools first fcu,3775,4250,-475,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2001,Toyota,Avalon,XL,Sedan,ca,3.3,138904,blue,beige,financial services remarketing (lease),2800,3500,-700,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,ca,1.9,148882,white,beige,ideal transportation,2425,1850,575,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1999,Toyota,Avalon,XL,Sedan,ca,1.9,205754,white,beige,jm auto sales,1225,900,325,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
1998,Toyota,Avalon,XLS,Sedan,ca,2,1,—,tan,axcess financial,3025,400,2625,Wed Jan 21 2015 07:00:00 GMT-0800 (PST)
1998,Toyota,Avalon,XL,Sedan,ca,2,196256,green,gray,purple heart services inc,1075,750,325,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2008,Toyota,Avalon,Limited,Sedan,ca,,74770,white,—,marin auto group,11050,13600,-2550,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Toyota,Avalon,Touring,Sedan,ca,3.7,137039,silver,black,premium auto wholesale,7325,6800,525,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Toyota,Avalon,Touring,Sedan,ca,,120492,gray,—,mercedes benz of pleasanton,7550,7100,450,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Avalon,XLS,Sedan,ca,2,205842,white,beige,aaero sweet company,3025,3100,-75,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2002,Toyota,Avalon,XL,Sedan,ca,,158166,beige,—,apexcars net,3175,3800,-625,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,Toyota,Avalon,XLS,Sedan,ca,2.5,168131,blue,beige,arrowhead auto group inc,2050,3400,-1350,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1998,Toyota,Avalon,XLS,Sedan,ca,1.9,111549,green,beige,aaero sweet company,1575,2300,-725,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2012,Toyota,Avalon,Limited,Sedan,la,,44400,gray,—,moss motors,17850,18000,-150,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2012,Toyota,Avalon,Base,Sedan,wa,4.3,35778,white,gray,dollar rac/seattle,18200,19800,-1600,Wed Dec 17 2014 13:30:00 GMT-0800 (PST)
